question,chunk_id,doc_id,source,title
"Are there any specific formations that the 4-4-2 structure can be easily transitioned from, and what are the key player movements involved in these transitions?",5dbfe20ee508,89b038ef2bc7,youtube,The Return of the 4-4-2
What are the two creative roles in football tactics named by the theoreticians of Italian football?,55e1d4cf0f50,c606b1953906,youtube,What is a Regista?
How has the role of the Deep Ling playmaker evolved throughout the history of football tactics?,55e1d4cf0f50,c606b1953906,youtube,What is a Regista?
What defensive arrangements led teams to deploy screening midfielders and reduce the creative role of the center half?,55e1d4cf0f50,c606b1953906,youtube,What is a Regista?
"Did Barcelona dominate possession in this match, and if so, by how much?",ae645d04ea5a,00581e5764e6,statsbomb,Barcelona vs Real Valladolid - La Liga 2020/21
"How did Lionel Messi contribute to the match, given the available information?",ae645d04ea5a,00581e5764e6,statsbomb,Barcelona vs Real Valladolid - La Liga 2020/21
"Was this a high-intensity match with many passing attempts per team, or a low-scoring affair?",ae645d04ea5a,00581e5764e6,statsbomb,Barcelona vs Real Valladolid - La Liga 2020/21
What was the score at the end of the Netherlands vs Austria match in the UEFA Euro 2020?,e886a4382d05,1ba1a1661fd6,statsbomb,Netherlands vs Austria - UEFA Euro 2020
Which two players scored for the Netherlands in this match?,e886a4382d05,1ba1a1661fd6,statsbomb,Netherlands vs Austria - UEFA Euro 2020
Did the team that attempted more passes win the match?,e886a4382d05,1ba1a1661fd6,statsbomb,Netherlands vs Austria - UEFA Euro 2020
What tactics did Carlo Ancelotti employ at Juventus before his dismissal?,94b752c02c82,9b8586db9cb8,wikipedia,Carlo Ancelotti
"How did Ancelotti's tenure at Juventus end, in terms of win-loss record?",94b752c02c82,9b8586db9cb8,wikipedia,Carlo Ancelotti
What changes did Ancelotti make to AC Milan's squad during his second season in charge?,94b752c02c82,9b8586db9cb8,wikipedia,Carlo Ancelotti
How did the rule restricting foreigners in the Spanish league affect Johan Cruyff's ability to join FC Barcelona earlier?,ed3b440309cb,96fb44cb3489,wikipedia,Johan Cruyff
What was the key factor that led Armand Carabén to initiate negotiations with Ajax for Johan Cruyff's transfer?,ed3b440309cb,96fb44cb3489,wikipedia,Johan Cruyff
How did Johan Cruyff's personal circumstances influence his decision to join FC Barcelona over Real Madrid?,ed3b440309cb,96fb44cb3489,wikipedia,Johan Cruyff
How did Denmark's high-pressing strategy contribute to their goal-scoring opportunities and ultimate win against the Czech Republic?,be5e47f31569,ebbe6f063bb3,statsbomb,Czech Republic vs Denmark - UEFA Euro 2020
What specific tactics or player positioning allowed the Czech Republic to score their only goal of the match?,be5e47f31569,ebbe6f063bb3,statsbomb,Czech Republic vs Denmark - UEFA Euro 2020
Did Denmark's possession advantage (508 passes vs 398) directly translate to scoring opportunities and match control?,be5e47f31569,ebbe6f063bb3,statsbomb,Czech Republic vs Denmark - UEFA Euro 2020
How did Guardiola's Barcelona team achieve their highest points total in La Liga at the time?,0c4766c97f46,a747b3f1ef46,wikipedia,Pep Guardiola
What was significant about Guardiola's win against Porto in the 2011 UEFA Super Cup?,0c4766c97f46,a747b3f1ef46,wikipedia,Pep Guardiola
How many wins did Guardiola have in El Clásico against Real Madrid under his management?,0c4766c97f46,a747b3f1ef46,wikipedia,Pep Guardiola
In what formations are centre-backs most commonly used in modern football?,d972d43114fe,491d0429bada,wikipedia,Defender (association football)
What are the main characteristics of a centre-back's role in a football team?,d972d43114fe,491d0429bada,wikipedia,Defender (association football)
What skills are centre-backs expected to possess when in possession of the ball?,d972d43114fe,491d0429bada,wikipedia,Defender (association football)
How did Brazil's passing strategy compare to Serbia's during the match?,3fedf10cf305,048ad8f14150,statsbomb,Brazil vs Serbia - FIFA World Cup 2022
Which Brazil player scored the most goals in the match against Serbia?,3fedf10cf305,048ad8f14150,statsbomb,Brazil vs Serbia - FIFA World Cup 2022
Did Brazil's possession of the ball contribute to their 2-0 victory over Serbia?,3fedf10cf305,048ad8f14150,statsbomb,Brazil vs Serbia - FIFA World Cup 2022
What role did Lionel Messi play in Argentina's 2-1 win over Australia in the 2022 FIFA World Cup?,b0335cd0520b,8d734bd29682,statsbomb,Argentina vs Australia - FIFA World Cup 2022
How did Argentina's passing statistics compare to Australia's in the match?,b0335cd0520b,8d734bd29682,statsbomb,Argentina vs Australia - FIFA World Cup 2022
Who scored the first goal for Argentina in the match?,b0335cd0520b,8d734bd29682,statsbomb,Argentina vs Australia - FIFA World Cup 2022
What contributed to Belgium's 2-0 victory over Finland in the UEFA Euro 2020 match?,f0e8dfa8d94a,a1a1cd353c6e,statsbomb,Finland vs Belgium - UEFA Euro 2020
How did the passing statistics compare between Finland and Belgium in this match?,f0e8dfa8d94a,a1a1cd353c6e,statsbomb,Finland vs Belgium - UEFA Euro 2020
Who scored the decisive goal for Belgium in the 80th minute of the match?,f0e8dfa8d94a,a1a1cd353c6e,statsbomb,Finland vs Belgium - UEFA Euro 2020
"What tactics led to Seattle Reign's successful defense against Utah Royals, allowing them to maintain a clean sheet?",dcae3c56634c,f4d17e437688,statsbomb,Seattle Reign vs Utah Royals - NWSL 2018
"Was Seattle Reign's attacking strategy reliant on sustained possession, or did they opt for quick counter-attacks?",dcae3c56634c,f4d17e437688,statsbomb,Seattle Reign vs Utah Royals - NWSL 2018
"Did the Utah Royals' high passing count result in a significant number of scoring opportunities, or were they largely ineffective?",dcae3c56634c,f4d17e437688,statsbomb,Seattle Reign vs Utah Royals - NWSL 2018
"What are the two main types of marking in football, and how do they vary?",5dc450641dff,a05ca11373ad,youtube,Zonal & Man Marking Explained
How did teams adapt their attacking play to counter the WM formation's defensive style in the 20th century?,5dc450641dff,a05ca11373ad,youtube,Zonal & Man Marking Explained
What is the main weakness of man-to-man marking and how can teams exploit it?,5dc450641dff,a05ca11373ad,youtube,Zonal & Man Marking Explained
"Who introduced the system that combines defensive individual marking, the zonal game, and continuous attack on spaces to Italian football?",152f7509a9c2,d7879ed19ad1,wikipedia,Glossary of association football terms
Which teams popularized this tactical system in the late 1970s and early 1980s?,152f7509a9c2,d7879ed19ad1,wikipedia,Glossary of association football terms
What is the origin of this tactical system that combines different defensive strategies?,152f7509a9c2,d7879ed19ad1,wikipedia,Glossary of association football terms
What are some of the notable honours won by Pep Guardiola in his managerial career?,a61ce75fadb9,a747b3f1ef46,wikipedia,Pep Guardiola
How has Pep Guardiola's managerial style been effective in competitions like the UEFA Champions League?,a61ce75fadb9,a747b3f1ef46,wikipedia,Pep Guardiola
What are some of the key statistics that highlight Pep Guardiola's success as a football manager?,a61ce75fadb9,a747b3f1ef46,wikipedia,Pep Guardiola
"What changes did Argentina make to their lineup as the match progressed, given the large number of goals scored in extra time?",5b20673b6950,466e180813b4,statsbomb,Argentina vs France - FIFA World Cup 2022
"Which team had more possession and passing attempts, and what does this suggest about the match's overall flow?",5b20673b6950,466e180813b4,statsbomb,Argentina vs France - FIFA World Cup 2022
"Did either team's coach make tactical adjustments in response to Kylian Mbappé's scoring spree, and if so, what were they?",5b20673b6950,466e180813b4,statsbomb,Argentina vs France - FIFA World Cup 2022
What led to the disintegration of Barcelona's Dream Team in 1995?,1152ef2d702e,96fb44cb3489,wikipedia,Johan Cruyff
How did Johan Cruyff's tactics and player decisions affect Barcelona's performance in the 1994-95 season?,1152ef2d702e,96fb44cb3489,wikipedia,Johan Cruyff
What was the outcome of Barcelona's Champions League campaign in the 1994-95 season?,1152ef2d702e,96fb44cb3489,wikipedia,Johan Cruyff
How did the Portland Thorns' high pass count contribute to their victory over the Orlando Pride?,5cf2e7ae8f96,ab0a44fcbcb9,statsbomb,Orlando Pride vs Portland Thorns - NWSL 2018
Which player from the Portland Thorns scored the most crucial goals in this match?,5cf2e7ae8f96,ab0a44fcbcb9,statsbomb,Orlando Pride vs Portland Thorns - NWSL 2018
"Did the Portland Thorns' approach to attacking play, which involved attempting more passes than the Orlando Pride, result in more goal-scoring opportunities?",5cf2e7ae8f96,ab0a44fcbcb9,statsbomb,Orlando Pride vs Portland Thorns - NWSL 2018
How did José Mourinho's comments about Milan and Roma during a 2009 press conference influence the reaction of Italian football fans?,4a70e1471cd4,369ca78a8733,wikipedia,José Mourinho
"What was the significance of the phrase ""zeru tituli"" in Italian football, particularly after Inter's 17th Scudetto win?",4a70e1471cd4,369ca78a8733,wikipedia,José Mourinho
How did other football clubs and managers respond to Mourinho's comments during the 2009 press conference?,4a70e1471cd4,369ca78a8733,wikipedia,José Mourinho
"What formation did Helenio Herrera use at Inter Milan, which became the foundation for the Catenaccio system?",fa7943b955c6,a546b731727a,wikipedia,Helenio Herrera
"Which teams did Herrera manage during his second spell in Spain, and in Portugal, in addition to Inter Milan in Italy?",fa7943b955c6,a546b731727a,wikipedia,Helenio Herrera
What tragic event occurred at an away game against Cagliari that affected Herrera's relationship with Roma club president Alvaro Marchini?,fa7943b955c6,a546b731727a,wikipedia,Helenio Herrera
"Did the ""staffetta"" tactic, where a player is substituted in the second half, ever result in a successful tournament finish for Italy?",01d9076382ea,e8e2b38401f5,wikipedia,Playmaker
What inspired Giovanni Trapattoni's decision not to pair playmakers Francesco Totti and Alessandro Del Piero in the 2002 World Cup?,01d9076382ea,e8e2b38401f5,wikipedia,Playmaker
"How did the media react to Italy's use of the ""staffetta"" tactic in the 2012 Euro and the 2013 FIFA Confederations Cup semi-finals under their then-manager?",01d9076382ea,e8e2b38401f5,wikipedia,Playmaker
Can Gegenpressing be effective against teams that play out through their fullbacks?,573ea24e8ce1,e300ca50435c,youtube,What is Gegenpressing?
How has data analysis impacted the sophistication of Gegenpressing tactics?,573ea24e8ce1,e300ca50435c,youtube,What is Gegenpressing?
What makes modern players better at Gegenpressing than their predecessors?,573ea24e8ce1,e300ca50435c,youtube,What is Gegenpressing?
How did the role of the winger evolve to become the wide midfielder in the 4-4-2 formation?,0457b673e797,3805860b31aa,wikipedia,Midfielder
What is the significance of the position of wing-half in football tactics and how did it become obsolete?,0457b673e797,3805860b31aa,wikipedia,Midfielder
How does the inverted winger position differ from the traditional winger position and what are its implications for a team's strategy?,0457b673e797,3805860b31aa,wikipedia,Midfielder
What was the outcome of Barcelona's first competitive game under Pep Guardiola in the 2008-09 season?,90ca6a529b3c,a747b3f1ef46,wikipedia,Pep Guardiola
"How did Guardiola's first season at Barcelona end, in terms of the club's trophy count?",90ca6a529b3c,a747b3f1ef46,wikipedia,Pep Guardiola
What notable achievement did Barcelona accomplish under Guardiola's management in the 2008-09 season?,90ca6a529b3c,a747b3f1ef46,wikipedia,Pep Guardiola
What are some common tactics employed by AS Roma in their football matches?,e25d5c687c7a,d0631bf40f92,youtube,Tactics Explained: Roma
How does Roma's 4-3-3 formation contribute to their overall team strategy?,e25d5c687c7a,d0631bf40f92,youtube,Tactics Explained: Roma
What specific defensive and attacking roles do Roma's midfielders play in their system?,e25d5c687c7a,d0631bf40f92,youtube,Tactics Explained: Roma
What was the decisive factor in the United States winning the match against Iran?,a85d27d5d8ea,31cddfda441b,statsbomb,Iran vs United States - FIFA World Cup 2022
"Which team, the United States or Iran, had a higher passing rate in the match?",a85d27d5d8ea,31cddfda441b,statsbomb,Iran vs United States - FIFA World Cup 2022
Who scored the winning goal for the United States in this match?,a85d27d5d8ea,31cddfda441b,statsbomb,Iran vs United States - FIFA World Cup 2022
How did the passing statistics compare between Liverpool and Arsenal in this match?,c4e875648ddc,b327092fa75f,statsbomb,Liverpool vs Arsenal - Premier League 2003/04
"Which Liverpool player scored the opening goal of the match, and at what minute did he do so?",c4e875648ddc,b327092fa75f,statsbomb,Liverpool vs Arsenal - Premier League 2003/04
Did Arsenal's winning goal come from a set piece or an open play?,c4e875648ddc,b327092fa75f,statsbomb,Liverpool vs Arsenal - Premier League 2003/04
What role did Johan Cruyff play in the Total Football system of Ajax?,3ab8a09a892d,fadbba7bd862,wikipedia,Rinus Michels
How did the 4–3–3 formation used by Rinus Michels allow for flexibility in team shape?,3ab8a09a892d,fadbba7bd862,wikipedia,Rinus Michels
What contributed to the success of the Total Football system in creating space on the pitch?,3ab8a09a892d,fadbba7bd862,wikipedia,Rinus Michels
"What position is described by the term ""terzino volante"" in this passage?",62f10d8b9707,0647de8ae090,wikipedia,Catenaccio
"How did Nereo Rocco's modified catenaccio tactic, also known as the real Catenaccio, typically approach scoring goals?",62f10d8b9707,0647de8ae090,wikipedia,Catenaccio
What titles did Nereo Rocco and Milan win using the catenaccio system in the 1970s?,62f10d8b9707,0647de8ae090,wikipedia,Catenaccio
Which player scored the first goal in the match?,2239ca9b6df4,7a2d710ec718,statsbomb,Arsenal vs Leicester City - Premier League 2003/04
How many more passes did Arsenal attempt compared to Leicester City in the match?,2239ca9b6df4,7a2d710ec718,statsbomb,Arsenal vs Leicester City - Premier League 2003/04
Who scored the goal for Leicester City in the match?,2239ca9b6df4,7a2d710ec718,statsbomb,Arsenal vs Leicester City - Premier League 2003/04
What tactics did the Chicago Red Stars employ to secure their 1-0 victory over Seattle Reign?,c8e074978d78,1e5a5f8adbe3,statsbomb,Chicago Red Stars vs Seattle Reign - NWSL 2018
"Did the Seattle Reign attempt any passes in the game, and if so, what was their passing performance like?",c8e074978d78,1e5a5f8adbe3,statsbomb,Chicago Red Stars vs Seattle Reign - NWSL 2018
"Which player scored the winning goal for the Chicago Red Stars, and at what minute of the game?",c8e074978d78,1e5a5f8adbe3,statsbomb,Chicago Red Stars vs Seattle Reign - NWSL 2018
What contributed to West Brom's success in scoring goals from set pieces last season?,be44a9a13680,b1c4a74e9423,youtube,West Brom & Set Pieces
How did West Brom's tactical approach differ from other Premier League teams in terms of fullback positioning?,be44a9a13680,b1c4a74e9423,youtube,West Brom & Set Pieces
What role did Gareth McCauley play beyond being a center back in West Brom's attack?,be44a9a13680,b1c4a74e9423,youtube,West Brom & Set Pieces
How did England create scoring opportunities in the match against Czech Republic?,f8724d26d4ed,567fee745653,statsbomb,Czech Republic vs England - UEFA Euro 2020
"Did the team that attempted more passes, Czech Republic or England, ultimately win the match?",f8724d26d4ed,567fee745653,statsbomb,Czech Republic vs England - UEFA Euro 2020
Which England player scored the only goal of the match against Czech Republic?,f8724d26d4ed,567fee745653,statsbomb,Czech Republic vs England - UEFA Euro 2020
Who are the individuals credited with creating the 4–2–4 formation?,c86578ae12d8,badcdcd287a5,wikipedia,Formation (association football)
In what year was the 4–2–4 formation described using numbers for the first time?,c86578ae12d8,badcdcd287a5,wikipedia,Formation (association football)
"What was the primary goal of the ""diagonal system"" developed by Flávio Costa?",c86578ae12d8,badcdcd287a5,wikipedia,Formation (association football)
How did Denmark's high passing count of 519 in the match compare to Belgium's passing count?,b34fc1b70655,92786d59b9d3,statsbomb,Denmark vs Belgium - UEFA Euro 2020
What role did Pierre-Emile Højbjerg play in Denmark's lineup in the match against Belgium?,b34fc1b70655,92786d59b9d3,statsbomb,Denmark vs Belgium - UEFA Euro 2020
Which player scored the opening goal in the match for Denmark?,b34fc1b70655,92786d59b9d3,statsbomb,Denmark vs Belgium - UEFA Euro 2020
What are the key characteristics of a team playing in the Total Football system?,8bafd4f7628e,0f10e1bdca50,wikipedia,Total Football
How does the adaptability of players contribute to the success of Total Football?,8bafd4f7628e,0f10e1bdca50,wikipedia,Total Football
Who is often credited with introducing the Total Football system in the 1970s?,8bafd4f7628e,0f10e1bdca50,wikipedia,Total Football
How did Dino Zoff's approach to football tactics differ from that of his predecessors in charge of the Italy national side?,6ad5fedd0005,0647de8ae090,wikipedia,Catenaccio
What defensive strategies did Azeglio Vicini use to lead Italy to the semi-finals of UEFA Euro 1988 and the 1990 FIFA World Cup?,6ad5fedd0005,0647de8ae090,wikipedia,Catenaccio
How did Italy's playing style and defensive approach change under Dino Zoff during the UEFA Euro 2000 semi-final against Netherlands?,6ad5fedd0005,0647de8ae090,wikipedia,Catenaccio
What influenced Jürgen Klopp's interest in football?,f78b92afab75,440ca772c8f6,wikipedia,Jürgen Klopp
What was Jürgen Klopp's career progression in terms of playing position?,f78b92afab75,440ca772c8f6,wikipedia,Jürgen Klopp
How did Jürgen Klopp's education and academic pursuits relate to his football career?,f78b92afab75,440ca772c8f6,wikipedia,Jürgen Klopp
How does the 4-4-2 formation continue to be effective for top sides like Juventus and Atletico Madrid when many coaches prioritize an extra man in central midfield?,42a9423db0f0,26270daf627d,youtube,A Guide to 4-4-2
What are the strengths and weaknesses of the 4-4-2 formation that coaches should emphasize and minimize when using this shape?,42a9423db0f0,26270daf627d,youtube,A Guide to 4-4-2
How does the simplicity in player roles of the 4-4-2 formation make it easier to implement at various levels of the game?,42a9423db0f0,26270daf627d,youtube,A Guide to 4-4-2
"Did France's possession-based approach, indicated by their 387 attempted passes, contribute to their victory over Morocco?",4a54773ef58f,01be15883e46,statsbomb,France vs Morocco - FIFA World Cup 2022
"How effective was Morocco's attack against France, especially considering their 615 attempted passes, but ultimately conceding 2 goals?",4a54773ef58f,01be15883e46,statsbomb,France vs Morocco - FIFA World Cup 2022
"Did any specific player, such as Kylian Mbappé or Hakim Ziyech, dominate the match and have a significant impact on the final score?",4a54773ef58f,01be15883e46,statsbomb,France vs Morocco - FIFA World Cup 2022
How did the traditional winger position evolve into a more modern tactical development in football?,6a68f98da11f,0a85f1065770,wikipedia,Midfielder
"What is the primary role of the tornante, also known as the wide midfielder, in Italian football?",6a68f98da11f,0a85f1065770,wikipedia,Midfielder
What is the historical significance of the wing-half position in football and how has it become obsolete?,6a68f98da11f,0a85f1065770,wikipedia,Midfielder
"What were the key principles of Johan Cruyff's Total Football philosophy, and how did it impact his playing style and coaching ideas?",7f8657325a56,96fb44cb3489,wikipedia,Johan Cruyff
How did Johan Cruyff's influence contribute to the Netherlands' rise as a football powerhouse in the late 1960s and early 1970s?,7f8657325a56,96fb44cb3489,wikipedia,Johan Cruyff
"What led to Johan Cruyff's retirement from international football, and what impact did it have on his career?",7f8657325a56,96fb44cb3489,wikipedia,Johan Cruyff
"What tactical decisions did Barcelona make that led to them attempting significantly more passes than Getafe, yet still losing the match?",06ba49a02f06,9114bb89e0b4,statsbomb,Getafe vs Barcelona - La Liga 2020/21
"Was Getafe's low passing total a result of Barcelona's high press, and how did Getafe adapt to it?",06ba49a02f06,9114bb89e0b4,statsbomb,Getafe vs Barcelona - La Liga 2020/21
"How did Getafe's 1-0 victory over Barcelona, a team that heavily outpassed them, demonstrate their ability to win without dominating possession?",06ba49a02f06,9114bb89e0b4,statsbomb,Getafe vs Barcelona - La Liga 2020/21
What specific role did the centre halfback play in both organizing the team's attack and defending against the opponent's centre forward?,dd3be7e2f142,badcdcd287a5,wikipedia,Formation (association football)
What is the difference between the 2–3–5 formation and the Danubian school of football?,dd3be7e2f142,badcdcd287a5,wikipedia,Formation (association football)
How did the Danubian school of football's tactics influence the development of modern football strategies?,dd3be7e2f142,badcdcd287a5,wikipedia,Formation (association football)
How did the possession of the ball during the match compare between Italy and England?,087e1845c7c3,f16c3ea21126,statsbomb,Italy vs England - UEFA Euro 2020
Who scored the most goals for Italy during the match?,087e1845c7c3,f16c3ea21126,statsbomb,Italy vs England - UEFA Euro 2020
Did Italy or England have more possession and make more attempts with the ball?,087e1845c7c3,f16c3ea21126,statsbomb,Italy vs England - UEFA Euro 2020
What was the role Johan Cruyff assumed during the Ajax training camp in Zeist?,9b6faac83a85,96fb44cb3489,wikipedia,Johan Cruyff
How did Johan Cruyff decide which players to include in the starting lineup?,9b6faac83a85,96fb44cb3489,wikipedia,Johan Cruyff
What was the tactical vision of Oranje according to Johan Cruyff?,9b6faac83a85,96fb44cb3489,wikipedia,Johan Cruyff
How did Jose Mourinho's 2009-10 Inter Milan side manage to score so many goals while also conceding the fewest?,0f9a0009d512,e9053cf26a35,youtube,Inter Milan's 2009/10 Treble Tactics Explained
What role did Julio Cesar play in Mourinho's defensive setup for Inter Milan during the 2009-10 season?,0f9a0009d512,e9053cf26a35,youtube,Inter Milan's 2009/10 Treble Tactics Explained
How did Mourinho's tactical approach allow for the deployment of players in different positions to counter specific threats?,0f9a0009d512,e9053cf26a35,youtube,Inter Milan's 2009/10 Treble Tactics Explained
How did José Mourinho respond to taunts from Liverpool fans during the League Cup match in 2005?,2cfba45e8f29,369ca78a8733,wikipedia,José Mourinho
What was the reason behind Mourinho being escorted from the touchline during the League Cup match against Liverpool?,2cfba45e8f29,369ca78a8733,wikipedia,José Mourinho
What English football records did Chelsea set under Mourinho's management in the 2004-05 season?,2cfba45e8f29,369ca78a8733,wikipedia,José Mourinho
"What is Jürgen Klopp's new role at Red Bull, and when did he start it?",cdcb72eb4a6e,440ca772c8f6,wikipedia,Jürgen Klopp
What is the multi-club model that Klopp has been critical of in the past?,cdcb72eb4a6e,440ca772c8f6,wikipedia,Jürgen Klopp
"How did Klopp meet his second wife, Ulla Sandrock?",cdcb72eb4a6e,440ca772c8f6,wikipedia,Jürgen Klopp
How do width and depth contribute to a team's attacking strategy in association football?,09c82fc99f73,a2a984eeea21,wikipedia,Association football tactics
"What is the primary role of wingers in an attacking team, and how do they help create scoring opportunities?",09c82fc99f73,a2a984eeea21,wikipedia,Association football tactics
"How do defenders respond to an opponent's use of width in attack, and what tactics do they employ to counter it?",09c82fc99f73,a2a984eeea21,wikipedia,Association football tactics
What notable awards did Johan Cruyff receive for his contributions to football?,7421960988dc,96fb44cb3489,wikipedia,Johan Cruyff
How has Johan Cruyff's legacy been immortalized in Amsterdam?,7421960988dc,96fb44cb3489,wikipedia,Johan Cruyff
What notable football clubs or eras has Johan Cruyff been associated with in literature and media?,7421960988dc,96fb44cb3489,wikipedia,Johan Cruyff
"Did NJ/NY Gotham FC's higher passing attempt count contribute to their win, or was it a factor in their loss at 1-2?",d999f90e3c2e,d55f94755298,statsbomb,NJ/NY Gotham FC vs Utah Royals - NWSL 2018
"How did the Utah Royals' early goal, scored only 2 minutes into the game, affect the rest of the match's outcome?",d999f90e3c2e,d55f94755298,statsbomb,NJ/NY Gotham FC vs Utah Royals - NWSL 2018
"Was NJ/NY Gotham FC's strategy to match the Utah Royals' passing attempt count effective, given the final score?",d999f90e3c2e,d55f94755298,statsbomb,NJ/NY Gotham FC vs Utah Royals - NWSL 2018
What was the final score in the match between Netherlands and Czech Republic at the UEFA Euro?,dea941fc8702,17b77974c4df,statsbomb,Netherlands vs Czech Republic - UEFA Euro 2020
Which players scored the goals for Czech Republic in this match?,dea941fc8702,17b77974c4df,statsbomb,Netherlands vs Czech Republic - UEFA Euro 2020
Did the team that attempted more passes win the match?,dea941fc8702,17b77974c4df,statsbomb,Netherlands vs Czech Republic - UEFA Euro 2020
"Did Morocco's high passing count help them gain more control over the game, and if so, did they convert it into scoring opportunities?",c9b8383995a0,e067aa57bf89,statsbomb,Morocco vs Spain - FIFA World Cup 2022
"How did Spain's possession-based style of play impact their ability to create scoring chances, and can this explain their low goal tally?",c9b8383995a0,e067aa57bf89,statsbomb,Morocco vs Spain - FIFA World Cup 2022
"What was the impact of Morocco's late surge in scoring goals, particularly in the extra time period, on the overall momentum of the game?",c9b8383995a0,e067aa57bf89,statsbomb,Morocco vs Spain - FIFA World Cup 2022
"How did Marcelo Bielsa's tenure as manager end at Lille, and what led to his departure?",c3bdca2c6508,15c1306bc6f6,wikipedia,Marcelo Bielsa
"What was Marcelo Bielsa's recruitment strategy when joining Lille, and how did he approach squad rebuilding?",c3bdca2c6508,15c1306bc6f6,wikipedia,Marcelo Bielsa
What disciplinary action was taken against Marcelo Bielsa after his initial suspension as Lille's coach?,c3bdca2c6508,15c1306bc6f6,wikipedia,Marcelo Bielsa
How has the role of the '10' evolved in modern football tactics?,f3075534e5ce,e673b567c42f,youtube,"Enganche, Trequartista & Classic #10 Explained"
What are the key skills required of a '10' player in today's game?,f3075534e5ce,e673b567c42f,youtube,"Enganche, Trequartista & Classic #10 Explained"
How has the rise of the '4231' formation affected the traditional '10' position?,f3075534e5ce,e673b567c42f,youtube,"Enganche, Trequartista & Classic #10 Explained"
What specific tactics and formations does Marcelo Bielsa use in his football teams?,94c64b6a271b,ee75e1c539fb,youtube,Marcelo Bielsa Tactics Explained
How does Marcelo Bielsa's high line and pressing style of play work?,94c64b6a271b,ee75e1c539fb,youtube,Marcelo Bielsa Tactics Explained
What key differences are there between Bielsa's preferred formations and those of other influential coaches like Pep Guardiola?,94c64b6a271b,ee75e1c539fb,youtube,Marcelo Bielsa Tactics Explained
What tactics did Denmark employ to achieve their 4-1 win over Russia in the UEFA Euro 2020 match?,e9fe60d2b450,39a1026a975d,statsbomb,Russia vs Denmark - UEFA Euro 2020
"How did the passing statistics of Russia and Denmark compare, and did it impact the outcome of the match?",e9fe60d2b450,39a1026a975d,statsbomb,Russia vs Denmark - UEFA Euro 2020
Did Denmark's high passing count lead to any particular player or formation having more influence on the game?,e9fe60d2b450,39a1026a975d,statsbomb,Russia vs Denmark - UEFA Euro 2020
How did Switzerland's attacking strategy contribute to their equalizing goals at the end of the match?,5435be946500,c0d375ad310a,statsbomb,France vs Switzerland - UEFA Euro 2020
What defensive decisions led to France's 2-2 lead at the end of the 90 minutes?,5435be946500,c0d375ad310a,statsbomb,France vs Switzerland - UEFA Euro 2020
What can be inferred about the midfield play of France and Switzerland based on their passing statistics?,5435be946500,c0d375ad310a,statsbomb,France vs Switzerland - UEFA Euro 2020
What are the key roles of a holding midfielder in a football team's strategy?,8312ff4cb6b8,0a85f1065770,wikipedia,Midfielder
"How have the roles of holding midfielders evolved over time, and what are the characteristics of each type?",8312ff4cb6b8,0a85f1065770,wikipedia,Midfielder
What are some notable examples of football players who have occupied each of the three types of holding midfielder positions?,8312ff4cb6b8,0a85f1065770,wikipedia,Midfielder
How did Mourinho's Real Madrid side achieve the record for most points obtained in any of the top European leagues in the 2011-2012 season?,204e277a4193,369ca78a8733,wikipedia,José Mourinho
